adult,id,overview,popularity,title,vote_average,vote_count,release_year,release_month,genre,country,principal_cast,director
False,55475,"Balbuena is a genial illegal immigrant who makes his way to New York City to take a bite out of the Big Apple. But his hopes of finding a better life soon begin to fade as Balbuena encounters one obstacle after another in the hardscrabble, uncaring metropolis.",0.291021,Nueba Yol,5.5,1.0,1995,Agosto,Comedy,Dominican Republic,,Ángel Muñiz
False,18183,"Tita is passionately in love with Pedro, but her controlling mother forbids her from marrying him. When Pedro marries her sister, Tita throws herself into her cooking and discovers she can transfer her emotions through the food she prepares, infecting all who eat it with her intense heartbreak.",4.126083,Like Water for Chocolate,6.6,70.0,1992,Abril,Drama,Mexico,,
False,12527,"Havana, Cuba, 1979. Flamboyantly gay artist Diego (Jorge Perugorría) attempts to seduce the straight and strait-laced David, an idealistic young communist, and fails dismally. But David conspires to become friends with Diego so he can monitor the artist's subversive life for the state. As Diego and David discuss politics, individuality and personal expression in Castro's Cuba, a genuine friendship develops between the two. But can it last? Strawberry and Chocolate became an instant hit when it was released, and has become a classic of Cuban cinema due to its charming and authentic exploration of a connection between two people under historical circumstances that seem levelled against them.",1.777197,Strawberry and Chocolate,7.1,16.0,1993,Enero,Comedy,Cuba,,
False,8223,"Kika, a young cosmetologist, is called to the mansion of Nicolas, an American writer to make-up the corpse of his stepson, Ramon. Ramon, who is not dead, is revived by Kika's attentions and she then moves in with him. They might live happily ever after but first they have to cope with Kika's affair with Nicolas, the suspicious death of Ramon's mother and the intrusive gaze of tabloid-TV star and Ramon's ex-psychologist Andrea Scarface.",3.647321,Kika,6.8,58.0,1993,Octubre,Comedy,France,,
False,4307,"Marisa Paredes is Leocadia (""Leo"") Macias, a woman writing “pink” romance novels under the alias of Amanda Gris that are very popular all across Spain. Unlike her romantic novels, her own love life is troubled. Leo has a less than happy relationship with her husband Paco, a military officer stationed in Brussels then later in Bosnia, who is distant both physically and emotionally.",2.286788,The Flower of My Secret,6.9,43.0,1995,Septiembre,Drama,Spain,Marisa Paredes,
False,62364,For financial reasons an unemployed aspiring actor works for a phone-sex enterprise. One day he receives a call from the mysterious wife of one of his best clients.,1.133409,Mouth to Mouth,5.5,5.0,1995,Noviembre,Comedy,Spain,,
False,123763,"A viceroy and an archbishop take their posts in Mexico. A local nun, Sor Juana Inés de la Cruz (1651-1695), intrigues them. The viceroy and his wife find her brilliant and fascinating. The prelate finds her a symbol of European laxity. He engineers the election of a new abbess, severe and ascetic. The virreina visits Sor Juana often and inspires her to write passionate poetry that the archbishop finds scandalous. The viceroy protects her. After he is replaced and returns to Spain with his wife, Sor Juana faces envy and retribution. A bishop betrays her, her confessor humbles her. Plague, a tribunal, and her confession as ""the worst of all"" end the great poet's life.",0.202495,"I, the Worst of All",6.8,3.0,1990,Agosto,Drama,Argentina,,María Luisa Bemberg
False,43777,A patriot (René Lavan) with a rebellious brother falls in love with a dissident's daughter (Mayte Vilán) in Castro's Cuba.,0.401227,Bitter Sugar,6.3,3.0,1996,Febrero,Drama,United States of America,,
False,146341,Sin info,0.564117,Bird of Prey,0.0,0.0,1995,Septiembre,Crime,United States of America,,
False,49688,"Based on real events, 17-year-old Johnny García becomes involved with four older thugs who are planning to rob a money-laundering business masquerading as a video store. As they try to escape, a swarm of exploitative media attention awaits.",0.149107,Johnny 100 Pesos,6.3,3.0,1993,Enero,Drama,Chile,,
False,2469,"Recently released from a mental hospital, Ricky ties up Marina, a film star he once had sex with and keeps her hostage.",10.788319,Tie Me Up! Tie Me Down!,7.0,102.0,1989,Diciembre,Comedy,Spain,,
False,43775,Sin info,0.496315,Guantanamera,8.0,3.0,1995,Enero,Drama,Spain,,
False,18205,"Heated tempers, frustrated desires and dashed hopes plague a diverse group of individuals whose lives cross paths in Mexico City. There is the bar-owner's son, Chava, who yearns to emigrate to America. A poor barber, Abel, is madly in love with the gorgeous Alma, who eventually becomes a high-class prostitute. Finally, there is Susanita, the desperate spinster who pursues many love affairs in hopes of finding a husband.",3.304718,Midaq Alley,6.4,12.0,1995,Mayo,Drama,Mexico,,
